#{"t_start": 1667889378.5235724, "env_id": "LunarLander-v2"}
r,l,t
-350.852861,82,0.349983
-67.34084,68,0.590698
-200.47252,88,0.882557
-88.857083,73,1.131547
-119.269664,70,1.368442
-458.622947,94,1.680977
-128.848765,95,1.995003
-259.290219,112,2.367157
-172.546269,98,2.686754
-106.277809,92,2.980691
-88.965053,103,3.316199
-115.409356,63,3.521096
-202.024556,141,3.983577
-153.05993,144,4.460957
-247.952246,103,4.797621
-107.167508,63,5.005001
-136.485803,126,5.423159
-249.633471,92,5.731406
-533.889417,122,6.128535
-50.826222,115,6.504895
-146.828623,139,8.569047
-239.263855,107,8.942645
-219.198272,99,9.275081
-170.346623,101,9.608465
-98.233895,138,10.082061
-97.396413,73,10.330712
-67.162326,71,10.573999
-165.560223,99,10.954482
-116.751042,90,11.250321
-469.811024,100,11.589423
-177.416401,116,11.983749
-177.708557,97,12.31188
-103.441357,99,12.638506
-114.329731,110,13.020087
-88.451876,108,13.390398
-107.578268,58,13.588997
-107.031607,89,13.887822
-107.176464,79,14.155563
-126.452955,120,14.561925
-186.69241,106,14.916434
-125.054231,94,15.230608
-137.695987,67,17.00961
-88.725179,61,17.211654
-98.516235,94,17.545153
-81.790516,69,17.773023
-67.556098,106,18.127292
-143.090674,91,18.438282
-42.658309,78,18.696785
-125.281016,104,19.033604
-270.696729,154,19.540095
0.895965,86,19.825299
-152.220166,108,20.179817
-81.777509,77,20.43949
-233.650309,85,20.71603
-226.174862,106,21.071958
-363.862665,120,21.471091
-118.512086,71,21.702468
-459.706114,105,22.040418
-82.095173,83,22.311038
-131.946393,122,22.709327
-193.680812,79,22.975104
-216.165892,104,23.312165
-67.823485,126,23.736041
-33.530402,129,25.908342
-83.892455,138,26.398037
-89.1216,126,26.833779
-103.368206,98,27.173715
-108.590309,134,27.628379
-127.336953,93,27.946563
-67.46127,79,28.208362
-212.327391,108,28.579045
-171.324166,108,28.949735
-254.321149,75,29.203762
-393.227028,124,29.62561
-92.204517,79,29.895334
-80.974231,78,30.162142
-135.693632,109,30.537235
-171.000188,105,30.899946
-291.922248,110,31.2895
-117.403992,77,31.558022
-156.420602,106,31.94872
-43.967643,90,32.257937
-202.750731,101,34.256905
-261.402975,190,34.903329
-67.023253,131,35.356548
-59.798017,146,35.842991
-54.713628,124,36.25652
-90.541124,137,36.698056
-32.068744,95,37.013289
-231.516892,156,37.543378
-20.687016,87,37.823471
-87.605169,83,38.102708
-119.877188,166,38.658896
-83.966863,209,39.354177
-65.132979,155,39.882029
-32.113515,205,40.562685
-173.450345,92,40.890051
-164.064268,145,43.075415
