r,l,t
-95.510501,66,2.917926
-157.916503,67,3.62048
-188.214214,72,4.357031
-321.030125,107,5.48027
-103.113812,63,6.086892
-106.061489,80,6.854509
-343.527549,87,7.616721
-336.324867,130,8.743976
-220.716148,67,9.348121
-49.668819,122,10.44097
-267.742487,81,11.161166
-153.477593,90,11.978684
-333.910731,77,12.668011
-101.443748,68,13.280385
-143.012654,79,14.010604
-136.789247,110,15.03492
-321.444164,98,15.946728
-134.237486,78,16.671052
-289.094848,116,17.73796
-120.668574,68,18.373288
-133.536676,69,19.031519
-71.795723,68,19.669496
-166.976597,85,20.456517
-344.508685,113,25.363932
-175.568481,114,26.419903
-254.335377,121,27.520263
-121.081017,82,28.236359
-70.137674,75,28.937253
-226.196348,107,29.939684
-116.750475,148,31.289735
-285.370111,119,32.394875
-110.913282,161,33.780016
-291.916639,92,34.563765
-147.254304,72,35.181007
-203.244628,114,36.158034
-114.7378,74,36.789064
-62.160893,105,37.731611
-103.924476,65,38.294227
-112.238521,73,38.90886
-133.152648,106,39.81439
-127.03311,117,40.833331
-259.418296,81,41.512475
-111.025382,64,42.058846
-126.635899,92,42.846642
-288.085451,102,47.521632
-214.163252,82,48.227888
-77.959046,78,48.911221
-112.564015,103,49.777067
-337.180421,126,50.784453
-109.889046,74,51.361948
-103.555947,101,52.097858
-225.390395,73,52.642901
-133.955225,126,53.5669
-75.261134,81,54.079806
-200.732858,91,54.750616
-80.841215,108,55.552773
-116.206155,136,56.516375
30.926536,1000,66.754709
-95.362673,97,67.467489
-141.818437,97,68.15672
-101.218083,69,68.655556
-230.435958,108,69.40445
-111.538977,86,70.061191
-103.268965,113,70.965753
-89.424677,76,71.595391
-16.741488,73,72.220626
-76.70145,118,73.216005
-142.300804,104,74.101792
-78.457795,90,74.865113
-418.135239,131,75.931898
-117.644962,147,77.187562
-101.586951,84,77.903767
-218.530454,152,79.223644
-121.121071,113,80.135181
-92.068615,93,80.913851
-89.336184,72,81.494478
-90.892333,153,86.598413
-138.783983,133,87.743005
-232.758929,126,88.820179
-29.105388,92,89.580917
-253.290391,152,90.871959
-165.994157,139,92.008755
-22.265866,92,92.763865
-60.507117,75,93.375196
-59.762615,103,94.260787
-181.804173,107,95.199972
-95.114803,117,96.204833
-175.039224,111,97.16286
-46.927202,90,97.938482
-70.312044,89,98.699485
-138.594531,115,99.67922
-252.642132,185,101.297231
-256.717068,169,102.85607
-271.771062,87,107.903324
-190.557505,103,108.838442
-96.826601,179,110.568171
-97.009937,128,111.799624
-73.446632,115,112.899351
-78.143137,93,113.795722
-67.866062,131,115.121281
-163.073301,116,116.265935
-123.964771,91,117.159192
-13.014021,88,118.076597
-78.421813,114,119.230661
-61.799179,118,120.428721
-72.844175,92,121.387624
-129.239432,105,122.463602
-49.70037,93,123.447887
-42.787923,149,124.970243
10.242232,92,125.864403
-72.968579,146,127.315926
-71.495,199,133.688227
-183.422035,144,135.10971
-106.273544,124,136.262243
-114.867509,118,137.375975
-130.409853,139,138.688637
-95.77344,129,140.088531
-291.208325,115,141.353251
-53.197863,151,142.705863
-44.352656,82,143.52151
-88.224461,119,144.82042
-64.216373,88,145.789253
-53.436584,89,146.771533
-165.952743,129,148.14826
-21.699496,173,149.865649
-213.925325,165,151.608658
-86.099709,127,152.846059
-111.884485,179,159.326076
-205.247938,167,161.081975
-101.289097,181,163.159121
-7.617865,174,165.171649
-204.415304,111,166.303276
-38.221805,162,167.841998
-42.701864,114,169.01633
-174.000825,151,170.305538
-145.505488,143,171.534188
-164.465475,131,172.646686
-187.874098,114,173.551579
-81.213647,110,174.47204
-70.771773,76,175.211082
-188.250822,165,176.70691
-84.002939,101,181.063728
-100.347692,96,181.907315
-23.103839,147,183.138955
-31.797824,154,184.448076
-23.073636,83,185.166373
-11.550314,109,186.106427
-91.30186,172,187.591818
-76.310688,149,188.860213
-69.046362,126,189.909597
-41.109701,99,190.709381
-198.933455,198,192.490628
-60.661383,110,193.448479
-29.900031,101,194.34259
-120.578441,143,195.536691
-4.247381,140,196.657838
-106.656269,132,197.686289
4.616628,104,201.964227
-86.062447,114,202.816378
-55.478727,171,204.169979
-56.420063,142,205.279989
-29.477602,109,206.130543
-58.280384,191,207.621518
-28.162859,115,208.54753
-116.894189,201,210.203779
-189.992511,162,211.535107
-75.92047,173,212.836657
-67.365848,154,213.996263
8.539655,127,214.894442
-179.848571,123,215.768728
-8.292295,171,217.036613
-128.637,182,221.348311
-72.546136,211,222.907265
-154.936247,220,224.528129
-82.475359,157,225.641109
-133.132636,111,226.488971
-69.044403,156,227.737148
-5.118241,151,228.852883
121.029621,1000,240.513414
-38.205836,204,242.244106
-9.348414,134,243.361324
-205.159615,159,244.792644
-34.433605,121,245.876669
-156.961881,199,247.655196
-0.148948,133,248.823071
-145.083806,228,250.883405
-49.900796,144,252.163692
-21.454748,163,253.595827
-19.143377,197,255.313971
-59.983952,125,256.413211
-125.818595,143,257.693476
76.038679,1000,270.848601
