#{"t_start": 1670741543.517839, "env_id": "LunarLander-v2"}
r,l,t
-101.964509,95,3.251387
-161.592116,75,3.933836
-198.386976,91,4.797339
-312.013855,93,5.723431
-294.37844,84,6.546888
-72.542633,61,7.123821
19.233476,74,7.824056
-305.629024,116,8.89179
-76.350626,68,9.520271
-184.909798,105,10.471795
-77.262499,68,11.052118
-128.260975,70,11.630227
-154.148524,130,12.716025
7.172327,86,13.433596
-262.157471,123,14.542701
-243.316029,96,15.365596
-63.440008,75,16.006939
-277.668886,123,17.02504
-79.571786,66,17.568101
-205.548585,94,18.347845
-180.809714,131,19.452593
-251.551293,137,24.159871
-122.56836,77,24.756624
-309.148206,106,25.731465
-164.178237,113,26.825607
-72.282978,76,27.552059
-306.333624,82,28.369448
-122.979819,69,29.057671
-73.728434,79,29.784437
-112.298048,81,30.534518
-45.086461,152,31.945936
-70.11917,70,32.602243
-62.550139,63,33.162686
-130.474167,125,34.271551
-117.99874,88,35.050708
-154.223489,80,35.845595
-101.959195,79,36.633352
-357.364335,100,37.493479
-65.429983,57,37.962252
-251.755904,87,38.674825
-132.845145,96,39.458444
-132.196492,89,40.200625
-111.581329,80,40.879046
13.350765,133,42.000661
-132.959968,88,46.020884
-129.475019,101,46.855768
-103.731773,90,47.614008
-83.701858,77,48.251664
-348.885574,89,49.045678
-75.732509,118,50.147965
-322.006762,77,50.87259
-136.096682,110,51.92815
-112.147507,66,52.567167
-38.702221,82,53.365381
-85.059022,69,54.091028
-106.570587,102,55.06087
-97.243831,65,55.618108
-101.709595,92,56.409597
-229.370866,73,57.022398
-190.578854,114,58.066802
-135.080794,93,58.930098
-240.761821,88,59.697997
-89.750657,69,60.264378
-126.271146,67,60.76279
-232.015184,107,61.63088
-67.08491,64,62.141365
-142.34439,79,62.776669
-196.905105,88,63.455481
-242.455234,125,67.948497
-123.30405,95,68.760404
-207.838457,85,69.458821
-99.864728,106,70.312091
-109.877029,93,71.168413
-125.386661,116,72.262213
-269.962274,110,73.291355
-109.236879,86,74.188146
-177.45279,102,75.147703
-368.280497,143,76.431962
-57.388465,87,77.146476
-229.419988,106,78.00662
-88.984872,86,78.737412
-97.687654,89,79.52031
-32.776786,78,80.219562
-246.705648,94,81.049866
-94.54913,110,81.968295
-242.932796,82,82.607923
-56.441867,110,83.520552
-53.271716,74,84.141523
-60.672709,70,84.727266
-44.056246,80,88.862519
-249.231072,145,90.083567
-99.149113,82,90.759175
-103.486458,75,91.37976
-222.46571,107,92.257486
-50.234252,105,93.176529
-152.130405,171,94.767902
-460.503475,116,95.963836
-73.855189,150,97.423114
-109.200334,135,98.585139
-77.636049,110,99.511768
-61.819513,95,100.306226
-62.915291,145,101.529685
-123.153266,114,102.540864
-56.988825,71,103.135167
-72.191709,72,103.754041
-138.829053,116,104.743061
