#{"t_start": 1670826767.0883584, "env_id": "LunarLander-v2"}
r,l,t
-458.293089,108,1.635172
-490.309224,104,1.999635
-160.7536,64,2.189618
-105.962068,62,2.426172
-280.356983,75,2.670295
-246.653243,67,2.898934
-477.379917,103,3.280295
-258.014638,74,3.537949
-226.309659,142,4.005052
-135.183879,65,4.209231
-324.79395,78,4.469415
-173.550354,98,4.801342
-352.479902,95,5.110741
-270.792196,80,5.35484
-213.774773,68,5.589966
-324.292697,109,5.981509
-270.230232,105,6.35201
-374.991437,118,6.801385
-352.280283,97,7.127421
-400.808614,97,7.425888
-258.472012,89,7.7024
-259.819813,105,8.007951
-352.046407,132,8.412868
-377.001979,93,8.748928
-421.420768,96,9.07691
-214.753048,82,9.367387
-73.147636,68,9.619869
-120.246617,102,9.978992
-185.951026,122,10.383681
-229.794766,86,10.675517
-180.623588,83,10.958538
-148.721179,115,11.297028
-286.141485,90,11.581536
-229.410411,74,11.794396
-81.331698,115,12.133153
-564.038504,120,12.487788
-308.032977,111,12.823678
-346.205033,105,13.128808
-117.809358,70,13.333954
-366.944742,94,13.60635
-202.76931,70,13.811425
-504.619383,99,14.108146
-130.723174,80,14.342419
-87.067731,62,14.527452
-400.389046,95,14.807642
-103.955316,64,15.001862
-204.244697,111,15.320457
-157.175307,74,15.553148
-404.125122,83,15.813391
-425.602857,110,16.136008
-13.11162,75,16.383223
-117.6895,69,16.614139
-91.438146,69,16.849509
-102.552147,66,17.072189
-216.902215,104,17.385404
-120.409401,82,17.650823
-147.376542,88,17.955252
-525.91967,86,18.245807
-72.988628,63,18.431705
-181.844013,109,18.805741
-238.356322,88,19.109265
-135.891913,116,19.494902
-177.316878,84,19.779579
-337.756905,126,20.21329
-378.856538,99,20.509621
-168.750781,63,20.695047
-363.739626,126,21.06532
-203.246681,61,21.243485
-351.706025,85,21.490433
-175.539237,89,21.753597
-167.948879,80,21.992465
-393.797457,81,22.2271
-35.055957,81,22.465007
-314.905838,74,22.699543
