#{"t_start": 1670742494.0905373, "env_id": "LunarLander-v2"}
r,l,t
-146.533884,118,1.873353
-231.783349,85,2.231572
-13.523926,72,2.514209
-105.072097,109,2.946859
-74.466819,76,3.293748
-116.395385,98,3.773254
-139.288,123,4.366028
-0.340253,91,4.822938
-75.196625,75,5.193473
-297.338735,92,5.664881
-167.306837,55,5.883121
-131.90422,83,6.194558
-460.32198,88,6.550167
-97.739589,71,6.857025
-98.676878,82,7.219875
-136.66563,86,7.556832
-340.652534,112,7.992091
-234.355643,121,8.488666
-89.993081,81,8.805285
-323.94212,82,9.134337
-218.616264,76,9.440243
-486.574423,91,9.832664
-89.551311,84,10.228652
-131.894454,87,10.581695
-97.808161,67,10.84043
-464.06015,117,11.345023
-110.478148,114,11.80092
-314.101033,94,12.193976
-212.205768,68,12.459774
-191.886802,87,12.810899
-333.873672,101,13.204403
-81.397895,62,13.429558
-226.349144,117,13.911052
-149.530442,69,14.155159
-279.438735,99,14.538884
-324.09123,90,14.879578
-379.110303,101,15.326709
-86.602702,72,15.680662
-244.243583,84,16.0183
-95.447735,70,16.306179
-106.507428,63,16.55842
-336.874411,88,16.91209
-207.831817,66,17.186608
-140.98481,69,17.444881
-112.109097,138,17.993702
-294.061452,87,18.341596
-250.412351,99,18.738268
-155.425378,82,19.082019
-81.878396,95,19.472729
-345.406293,89,19.8255
-149.108478,93,20.187852
-58.516214,96,20.574068
-274.026994,101,20.948554
-222.141694,67,21.199099
-100.322167,76,21.477442
-182.752275,98,21.837827
-283.718961,105,22.229898
-47.904867,76,22.521303
-104.555126,109,22.991233
-87.639003,121,23.524461
-92.349768,95,23.977303
-118.724429,94,24.382316
-294.833522,85,24.77063
-86.046665,82,25.10727
-118.564144,84,25.411954
-129.866051,94,25.759372
-480.978033,95,26.107336
-123.308185,87,26.423119
-108.132432,74,26.697798
-247.726332,75,26.966763
-265.502023,97,27.318908
-106.221888,70,27.573463
-245.823076,83,27.881434
-150.600924,90,28.211379
-97.318688,62,28.443708
-188.97102,82,28.741558
-146.149641,87,29.063948
-90.962749,132,29.558172
-118.433993,120,30.003697
-409.23121,108,30.47922
-141.578482,80,30.783828
-310.902072,109,31.208097
-66.778063,102,31.674988
-466.728457,111,32.19861
-128.15485,91,32.633474
-32.663978,90,33.084446
-164.704694,71,33.424041
-54.926052,81,33.81186
-132.15183,64,34.127094
-72.735888,78,34.494649
-124.842524,99,34.960665
-66.95812,83,35.358559
-188.229463,93,35.807358
-110.214765,80,36.186389
-88.158279,81,36.574497
-329.134772,100,37.04116
-87.875993,72,37.393698
-263.552628,92,37.834355
-169.141734,86,38.227382
-175.442726,138,38.874995
-63.814134,109,39.39286
-109.374239,136,40.012195
-116.966388,92,40.444496
-107.170765,97,40.92487
-107.810689,73,41.276049
-186.265999,109,41.79503
-306.369499,95,42.236129
-97.581851,61,42.484242
-104.548159,87,42.838659
-106.798498,73,43.124638
-337.906517,88,43.454813
-137.21623,64,43.714538
-101.794135,121,44.231601
-102.34092,132,44.847218
-225.833624,102,45.318792
-117.409573,141,45.968427
-105.70906,87,46.348115
-233.271796,114,46.798409
-155.752188,65,47.046223
-120.238901,123,47.509528
70.950421,1000,51.415287
-311.402256,100,51.825203
-334.611051,123,52.284839
-96.66289,106,52.682339
-209.49461,107,53.078964
-302.045745,113,53.500938
-215.04093,88,53.866497
-113.641603,117,54.297001
-248.888525,75,54.571382
-340.590138,131,55.055532
-367.624674,106,55.452103
-441.884712,122,55.920389
-75.045448,83,56.232285
-112.376174,79,56.516456
-99.01661,108,56.919706
-65.923566,74,57.198574
-213.723871,98,57.588333
-137.849619,115,58.035394
-88.668632,73,58.308841
-76.365625,60,58.550856
-275.034601,103,58.944141
-150.563484,123,59.399187
-146.601888,62,59.642267
-86.313522,130,60.098456
-331.764202,89,60.434139
-200.439274,68,60.692446
-413.847162,98,61.069534
-87.807167,80,61.386587
-150.434884,66,61.669141
-101.648741,79,61.965737
-203.82496,79,62.239581
-111.441023,86,62.562409
-83.600302,68,62.812231
-98.095531,71,63.080789
-448.935687,104,63.473181
-329.393976,87,63.801833
-91.637481,85,64.107784
-119.056868,68,64.340936
-161.995084,79,64.628243
-106.971904,82,64.917797
-373.094541,121,65.368809
-57.229597,104,65.755505
-330.856184,110,66.145699
15.195406,116,66.597011
-91.517372,73,66.870855
-105.826012,77,67.158303
-284.031488,106,67.547887
-112.675867,69,67.803694
-124.260726,118,68.236787
-75.611634,60,68.459619
-134.45715,104,68.840578
-98.079165,65,69.083628
-140.865742,100,69.460365
-63.372694,74,69.733521
-355.652718,108,70.139296
-189.349249,74,70.406715
-102.313046,125,70.876584
-85.153315,79,71.166145
-317.60412,116,71.589003
-110.496674,93,71.936896
-185.779348,92,72.291123
-238.265077,90,72.627964
-204.092366,118,73.087945
-148.415218,101,73.473713
-171.917402,106,73.875428
-75.32223,113,74.297336
-131.465397,81,74.600683
-313.512846,138,75.128655
-342.487831,98,75.533446
-236.353086,86,75.861682
-145.436585,93,76.196612
-113.107233,77,76.48476
-175.490213,146,77.027324
-216.036489,96,77.399798
-155.434012,88,77.744481
-397.94988,128,78.231699
-351.809151,98,78.597767
-250.028829,96,78.94571
-266.925187,72,79.210899
-110.152672,110,79.613024
-97.912549,74,79.887732
-339.65039,85,80.215316
-146.133059,64,80.456681
-207.473325,105,80.870656
-110.125216,65,81.131289
-105.952058,90,81.456243
-80.561362,112,81.93246
-113.641895,102,82.326632
-176.336873,122,82.784626
-103.950587,65,83.070118
-299.262399,85,83.461907
-257.28392,106,83.922929
-166.887128,69,84.183853
