#{"t_start": 1670827083.7448187, "env_id": "LunarLander-v2"}
r,l,t
-261.128665,106,3.198738
-125.300828,88,3.816948
-108.009143,111,4.541292
-211.602466,105,5.208841
-165.551702,111,5.889631
-409.340549,100,6.456587
-351.404096,98,7.076841
-199.411661,123,7.884962
-103.856042,99,8.550875
-171.561041,80,9.057916
-153.246952,119,9.725342
-137.190228,85,10.210114
-228.501622,71,10.58733
-244.177743,91,11.098927
-247.911706,115,11.758446
-395.495339,109,12.392948
-176.792955,103,12.949894
-152.217243,98,13.486114
-160.978839,58,13.837482
-338.153356,85,14.293746
-300.323639,94,17.498198
-391.639328,83,17.960439
-121.440855,111,18.657165
-249.579708,87,19.203968
-216.800714,101,19.844829
-259.635171,86,20.367496
-142.841652,109,20.976939
-193.074461,71,21.31677
-139.764854,132,22.086713
-100.959186,67,22.413328
-144.552039,84,22.961977
-108.136404,88,23.466388
-230.760785,86,23.944149
-110.491765,125,24.634114
-196.258977,66,24.998497
-207.238622,121,25.631003
-411.274308,106,26.178036
-74.196183,58,26.498912
-101.45955,65,26.870098
-157.259321,70,27.255332
-290.93853,89,27.699193
-151.959289,90,28.23156
-263.864391,110,28.794275
-132.835206,122,32.164384
-71.112525,62,32.476927
-75.710426,59,32.830454
-61.042628,111,33.482963
-142.0796,94,34.045834
-57.478718,64,34.477674
-190.045381,89,35.012817
-101.934282,71,35.441887
-374.121932,101,36.016169
-108.537135,131,36.827991
-121.328993,111,37.503116
-73.793214,100,38.116613
-249.05964,100,38.682031
-149.552996,98,39.231624
-65.987026,69,39.630498
-159.171348,73,40.018239
-207.784316,117,40.696093
-141.685396,88,41.162669
-78.848828,61,41.50633
-114.084302,96,42.055059
-115.965555,84,42.503571
-167.610201,137,43.30217
-119.587075,66,46.248616
-103.743313,73,46.686293
-156.952285,110,47.305855
-118.277509,87,47.779569
-69.058645,65,48.198257
-265.30899,88,48.718272
-86.681736,67,49.151597
-119.203672,105,49.778251
-120.268644,122,50.482075
-143.195686,93,51.030134
-219.337516,93,51.622395
-146.980045,98,52.217978
-302.698318,109,52.875094
-187.163777,109,53.498377
-43.284987,73,53.923566
-94.137494,61,54.251087
-121.592085,133,54.990456
-115.703219,101,55.587134
-94.780492,67,55.93901
-92.35659,81,56.385355
-145.063352,84,56.81735
-101.174949,105,57.371407
-168.262641,74,57.809868
-68.738212,67,60.923938
-115.257803,77,61.318644
-302.536834,128,62.040478
-99.284887,82,62.555099
-237.272637,142,63.43327
-202.839347,130,64.240414
-246.497151,113,64.88683
-132.349786,120,65.585129
-320.620197,81,66.065713
-126.855816,147,66.993657
-142.382105,126,67.715761
-87.956241,87,68.200062
-70.665974,89,68.712682
-94.444256,88,69.19264
-126.127873,102,69.763767
-63.165666,65,70.139974
-79.59399,80,70.560965
-138.673582,107,71.130573
-112.285586,80,71.565145
-156.748877,111,72.215412
-266.985718,136,75.62679
-232.35919,132,76.369931
-180.310511,108,76.96512
-164.792362,93,77.51744
-69.172806,126,78.264507
-64.995749,83,78.730256
-296.058878,118,79.417026
-12.076334,104,80.061053
-100.930096,123,80.809972
-209.636997,88,81.354248
-66.563789,78,81.813703
-15.672355,133,82.589833
-82.456606,116,83.235793
-89.1891,83,83.728054
-54.182584,124,84.442996
-63.878894,87,84.926058
-99.081537,127,85.642671
-80.067213,95,86.153991
-345.447654,135,86.920021
-102.739851,96,90.115654
-24.586407,141,90.917772
-69.817156,70,91.30862
-73.863842,95,91.86172
-235.003269,175,92.936551
-172.415842,121,93.731946
-169.86474,93,94.335659
-60.458963,78,94.767462
-100.85573,82,95.268738
-74.76603,96,95.878714
-134.46536,98,96.51279
-72.520216,118,97.197555
-306.125198,157,98.086864
-361.788149,160,98.975455
-13.146361,83,99.444564
-352.868915,113,100.057632
-63.133229,149,100.910208
-102.558545,93,101.403486
-87.437429,67,104.406473
-248.721142,106,105.000912
-55.444068,109,105.591995
-92.042095,211,106.77598
-24.807667,165,107.792838
-84.60991,102,108.383289
-67.117435,81,108.91372
-69.436719,88,109.387244
-67.432458,103,109.978526
-303.860777,126,110.713359
-133.687495,83,111.258795
-160.952058,95,111.788085
-106.740871,88,112.223357
-108.930331,117,112.858892
-174.598158,129,113.577895
-2.020829,135,114.325091
-68.8583,76,114.76045
-293.985343,166,115.673124
-37.24299,119,118.85157
-124.138217,110,119.370263
-123.262234,86,119.855488
-42.976402,168,120.747468
-153.601075,132,121.52236
-127.467607,80,122.002125
-288.218545,125,122.745308
-159.747465,165,123.696092
-87.865628,121,124.376859
-103.269377,121,125.057389
-43.67745,86,125.56104
-125.848944,104,126.200376
-187.645537,125,126.940188
-123.397073,81,127.413241
-177.693281,185,128.476598
-134.827873,151,129.322632
-96.124996,139,130.115767
-93.009701,91,133.128024
-290.524525,193,134.214304
-52.811048,68,134.539751
-71.606471,133,135.316924
-132.093791,183,136.401751
-196.02888,96,136.944403
-56.910968,128,137.718374
-62.60726,68,138.124104
-85.071029,212,139.319314
-46.444102,134,140.078164
-53.009759,152,141.018436
-55.28341,112,141.673188
-53.430716,101,142.208288
-91.41033,126,142.8701
-115.998901,96,143.42777
-95.172201,127,144.107288
-58.068065,137,147.377074
-61.349364,185,148.39339
-24.842778,131,149.101629
-105.861808,209,150.223418
-4.20378,110,150.866494
-49.973897,83,151.340235
-81.690989,142,152.170629
-81.741469,183,153.270041
-16.490855,94,153.77309
-275.981151,211,154.956624
-104.96254,227,156.346079
-47.843176,120,157.022523
-97.937393,128,157.704278
-30.118966,133,160.984769
-155.824578,98,161.533243
-41.694121,118,162.164379
-118.444658,312,163.840471
-143.172799,209,164.95289
-150.731269,259,166.448242
-107.399385,174,167.472057
-148.266798,201,168.534041
-86.923175,206,169.739628
-301.042197,184,170.776482
-87.491779,279,174.92124
-39.555383,122,175.589552
-49.989084,87,176.054193
-160.530922,173,177.003304
-13.871737,157,177.826696
-126.367812,276,179.331757
-83.843532,223,180.594157
-78.755306,146,181.475877
-116.1598,218,182.73086
-78.319048,141,183.486068
-146.458289,219,184.696084
-138.357593,96,185.254634
-219.366437,182,186.318026
-21.109766,216,190.015921
-10.23253,137,190.743855
31.910147,158,191.623537
-19.42415,117,192.233575
