#{"t_start": 1670730601.373288, "env_id": "LunarLander-v2"}
r,l,t
-423.242624,114,9.305304
-52.206229,62,10.590903
-74.022856,69,12.154582
-132.76276,112,13.044253
-89.164671,126,14.074244
-133.357706,113,14.963057
-487.307489,102,15.633867
-390.684276,123,16.491974
32.853727,71,17.056551
-140.404112,69,17.611794
-416.905822,92,18.435413
-311.444911,106,20.478093
-19.910802,150,23.982289
-72.891272,93,25.99923
-109.889536,109,28.025098
-90.188126,66,28.54661
-357.503097,87,29.236436
-125.116453,71,29.81741
-318.136697,100,30.699741
-134.774443,74,31.306131
-227.59332,105,32.145208
-178.050118,85,35.692786
-305.860725,93,37.241473
-97.254568,59,38.51036
-385.548221,105,40.880814
-67.869281,111,43.248544
-399.340253,96,43.967689
-293.856611,109,44.703082
-95.626313,73,45.170531
-226.712324,67,45.606508
-132.696202,80,46.179772
-141.303747,78,46.768829
-83.232742,121,47.730264
-225.949392,109,48.705236
-269.698219,106,49.600213
-269.613803,135,50.691936
-129.430646,69,51.180801
-192.825765,134,54.004788
-94.847991,66,55.499515
-219.574081,86,56.892231
-165.171206,69,58.067213
-209.287959,67,59.082603
-328.64834,92,59.904699
-132.791908,75,63.550349
-207.684188,77,65.10307
-72.414921,68,66.738297
-107.95129,70,69.188005
-161.243754,104,73.103595
-110.835075,63,74.555053
-295.963748,95,76.298217
-74.923211,66,77.707522
-150.025076,100,79.427434
-165.15043,117,80.165032
-209.507585,93,80.800177
-91.987015,103,81.885855
-149.06493,85,83.880544
-90.879518,79,85.932127
-123.986047,83,88.15484
-113.571394,61,89.776631
-286.983422,120,92.973108
-244.356448,101,94.371632
-309.705741,107,95.714366
-39.83787,68,97.320687
-432.599633,136,100.602154
-369.611807,83,102.362336
-103.750325,68,103.849734
-85.682811,73,105.383467
-147.606979,99,118.785817
-120.50142,94,120.831866
-183.15066,108,123.260181
-87.328115,69,125.065562
-80.993659,62,126.674418
-57.23255,71,128.4479
-85.559763,84,130.394967
-125.1254,100,131.720884
-66.243906,80,132.248114
-316.975665,90,132.890962
-99.088338,64,133.426658
-161.530255,94,134.208191
-104.353495,93,136.071342
-142.163501,86,138.090048
-122.909136,100,140.585099
-154.521094,97,143.163868
-96.095303,82,145.304162
-247.468031,108,147.38929
-86.531614,83,148.111305
-124.056417,67,148.688066
-142.064668,76,149.682421
-163.124434,74,151.460174
-237.647163,96,153.591563
-142.236492,123,163.970289
-70.526846,69,164.555157
-416.975408,115,165.986064
-106.760322,70,167.810288
-85.329836,76,169.82011
-135.843275,77,172.18552
-103.683518,119,176.182416
-103.622061,120,179.550602
-141.627245,130,182.910806
-63.854619,64,184.36552
-234.663143,119,186.760217
-165.421601,129,189.493124
-93.994848,73,191.084461
-202.724755,117,194.005246
-77.379904,77,195.658178
-191.12404,97,197.892466
-132.768996,91,199.028268
-119.549675,109,199.80285
-142.978418,84,200.519815
-119.760642,68,201.10842
-99.309518,74,202.7116
-98.248421,85,204.758907
-130.785049,76,218.981385
-14.160189,180,225.366378
-118.539932,106,228.196015
-103.549445,140,231.80302
-125.354004,95,233.740427
-118.007974,95,235.731174
-99.351865,93,237.578715
-141.811733,101,239.765685
-67.683601,78,241.766875
-119.36955,87,244.02385
-171.898413,93,246.290672
-143.580341,107,248.791447
-58.719745,103,250.890444
-108.629512,95,252.839788
-154.237913,121,255.883616
-114.030757,82,258.101058
-103.621362,70,260.735925
-53.730691,76,263.427811
-226.872194,112,266.682783
-163.23322,119,269.568003
-252.249157,118,282.296458
24.80206,157,286.428036
-121.210151,134,289.424967
-108.877064,76,291.207791
-216.417651,131,294.355939
10.660593,125,297.63221
-90.20362,80,299.719585
-122.171078,94,302.193289
-74.375595,71,304.086413
-196.664663,83,306.07996
-337.759061,116,308.880546
-129.166911,89,310.932166
-76.552992,140,314.584224
-142.614367,95,317.152111
-16.271107,113,320.193783
-363.641508,145,325.337438
-96.253487,82,328.188142
-124.857094,90,330.575771
-214.406237,111,333.563949
-79.537772,74,335.554239
-81.764182,107,350.334547
-78.869062,97,352.904081
-88.38386,76,354.645386
-335.685303,155,357.912453
-172.787273,75,359.53281
-133.018494,97,361.74717
-139.405005,153,365.748263
-104.066286,94,368.237347
-102.575641,99,371.552896
-130.48475,138,376.33567
-70.378254,122,379.197663
-120.060528,111,382.100651
-34.868731,78,384.237312
-133.538583,115,387.111767
-53.258915,87,389.066274
-65.630785,81,390.91829
-49.35165,70,392.704927
-25.516689,136,396.374327
-224.720847,98,399.027941
-167.485673,132,414.211118
-100.672089,105,416.577983
-286.376914,145,421.319442
-199.689637,100,425.186485
-84.328842,155,428.95783
-92.744699,103,431.058815
-173.984941,105,433.359142
-98.140731,76,435.281882
-57.170494,106,438.094846
-176.579436,198,443.533339
-120.057117,114,446.600502
-69.71479,145,450.110891
-52.579715,128,452.919796
-145.493039,146,456.811396
-69.327211,65,458.58854
-75.520457,128,462.037839
-167.930622,175,481.001655
-97.029117,166,484.979365
-113.49659,145,488.061896
-184.441089,171,492.577428
-188.539645,189,497.086692
-62.444276,79,498.864199
-178.63781,110,501.26014
-232.292631,113,504.229803
-78.479707,73,506.25225
-109.816031,170,510.925474
-58.731381,115,513.772539
-112.493102,127,516.659191
-28.118863,105,519.11321
-198.438357,137,522.822461
-132.799334,189,527.732455
-128.805176,110,529.442914
-27.52369,87,542.304626
-166.233063,110,543.18741
-289.936228,160,544.473855
-49.684029,116,545.973799
-119.703129,91,548.8744
-163.433555,130,553.663908
-188.615133,105,555.740044
-382.407159,221,558.578601
-31.096403,111,561.102747
-96.835289,197,566.391038
-157.876652,151,570.261444
-188.903724,124,571.549844
-178.925709,151,572.909298
-120.245277,150,574.163097
-149.765309,129,575.194982
-60.493024,124,586.894912
-161.610808,216,588.788664
-105.286308,186,593.006025
55.353964,1000,615.047737
-253.847023,153,619.250686
-286.044807,200,623.319974
-359.999291,117,624.38414
-88.397366,102,637.491094
-105.38653,155,641.596972
-281.418108,154,645.525401
-59.710829,171,649.069459
-36.047962,148,652.313182
-104.863825,151,657.60261
-140.789107,278,665.986806
-128.285314,105,668.872716
-180.18169,169,673.46385
-119.060946,147,677.008957
-204.408357,177,680.667499
-30.857169,221,685.392788
-25.141164,87,687.668489
-32.812449,149,703.222045
-193.239666,104,705.852069
-57.839379,168,710.138109
-250.801646,132,714.016623
-46.825941,196,720.257784
-49.711261,124,722.357255
-176.32425,96,723.206759
-35.949939,192,725.002122
-100.796772,108,726.032406
-35.674956,158,727.356436
-83.560888,124,728.570156
-100.718065,112,731.087229
-171.888818,177,735.518117
-71.508914,155,739.578904
-42.875529,147,745.549903
33.551966,110,747.614974
-25.875883,88,749.545374
-24.300223,237,755.662595
-91.785776,144,760.509615
-56.352452,190,766.065465
-75.121796,145,770.010951
-114.990737,178,774.819616
-82.59796,114,777.551273
-10.946832,160,781.48411
-8.299923,100,784.215016
-276.131653,175,788.969417
-71.697283,146,792.400007
-38.571908,125,795.328267
-79.745437,113,798.145719
-225.233902,222,817.053956
-34.314778,144,821.759303
-64.260023,117,824.634125
-82.072048,174,829.102741
