#{"t_start": 1670897814.9570963, "env_id": "LunarLander-v2"}
r,l,t
-116.22446,108,2.372032
-365.131037,119,2.99843
-159.922828,90,3.477499
-145.859415,82,3.917402
-390.18918,95,4.411692
-383.591771,107,4.980627
-94.998857,96,5.477436
-607.719897,111,6.031847
-212.023725,100,6.565222
-164.444655,81,7.031991
-176.61311,76,7.461441
-67.161527,75,7.894537
-149.841223,87,8.388166
-143.836459,70,8.749946
-171.778022,68,9.108324
-78.157141,85,9.544372
-407.692081,89,10.016266
-328.415524,83,10.418649
-110.730329,62,10.703959
-260.610742,71,11.105854
-393.460499,113,11.73259
-155.016449,83,12.176589
-291.922044,111,14.955238
-291.81925,122,15.645827
-111.319895,69,16.04482
-446.673283,107,16.632456
-567.742987,118,17.265337
-449.727921,89,17.759986
-513.200728,138,18.518747
-193.367901,97,19.063986
-224.932955,138,19.824958
-296.92939,120,20.542097
-62.006694,76,21.02566
-511.916681,109,21.67333
-271.161734,114,22.284208
-181.892551,103,22.828146
-104.551423,89,23.301702
-106.118895,98,23.815083
-314.167252,129,24.519481
-94.573585,84,24.958555
-440.637344,86,25.421103
-467.758882,98,25.96245
-146.77281,135,28.866238
-274.785332,116,29.508507
-216.921139,69,29.897742
-146.909094,118,30.526006
-290.845816,72,30.944796
-98.732317,76,31.378076
-427.246783,85,31.829587
-430.935961,95,32.345626
-192.47719,76,32.760458
-356.630131,96,33.276948
-187.183741,106,33.863601
-360.190278,133,34.647446
-389.431169,83,35.122219
-417.397486,151,35.92518
-248.119498,124,36.657914
-266.858658,105,37.251947
-143.207347,84,37.710197
-286.615115,85,38.185427
-327.540331,116,38.819012
-261.011035,100,39.382698
-144.108225,115,42.302022
-160.505805,116,42.907102
-136.105998,103,43.443863
-467.024621,137,44.187179
-71.685863,67,44.528498
-494.779977,114,45.139905
-273.541237,109,45.699845
-219.487548,92,46.175653
-403.248149,133,46.834775
-247.377998,109,47.419833
-67.150912,76,47.864581
-137.11904,93,48.402791
-288.630074,108,48.977256
-214.877445,93,49.495343
-234.444237,85,49.929002
-100.218537,78,50.330082
-362.866822,176,51.222462
-287.59546,109,51.777107
-216.012235,106,52.255702
-180.226447,97,52.715312
-97.076781,86,55.234759
-214.137052,147,55.973212
-226.059383,100,56.482356
-362.347503,136,57.172616
-204.016932,107,57.74177
-283.938501,96,58.239952
-22.858215,115,58.834335
-100.974547,77,59.273495
-502.878469,129,60.001485
-245.855355,110,60.583078
-468.883017,131,61.292566
-139.433707,86,61.84228
-134.549261,66,62.241825
-131.909873,74,62.686132
-123.14124,75,63.155469
-347.113961,119,63.806032
-233.025367,89,64.274933
-308.598539,118,64.868899
-114.723397,72,65.226508
-156.475815,112,65.795375
-236.614458,86,68.299844
-367.51325,169,69.133168
-48.775203,79,69.541902
-171.561199,89,70.001805
-295.191296,126,70.640252
-245.614627,140,71.361068
-179.048121,93,71.838897
-139.474446,85,72.260799
-276.938533,91,72.705107
-192.298977,128,73.36593
-367.834575,140,74.091497
