#{"t_start": 1670798641.3759959, "env_id": "LunarLander-v2"}
r,l,t
-142.754797,104,2.612328
-205.446901,106,3.168434
-408.523955,90,3.619408
-97.485245,96,4.107068
-243.614273,74,4.485911
-131.664863,83,4.909818
-290.36939,115,5.484171
-82.339457,105,6.010808
-188.016703,83,6.425267
-135.164644,88,6.868888
-112.409916,73,7.238488
-191.514255,97,7.714265
-345.37276,106,8.228859
-87.310487,92,8.667135
-316.268054,99,9.160679
-71.159219,61,9.505461
-419.435658,100,10.055288
-500.283924,87,10.5167
-392.743682,106,11.103135
-222.688865,105,11.682528
-103.325696,84,12.140109
-164.964807,75,12.552202
-220.827619,80,15.310847
-112.722824,75,15.69582
-306.725374,137,16.371372
-257.240451,111,16.924788
-258.377001,90,17.364167
-122.120973,76,17.744418
-58.793439,69,18.089968
-281.79708,131,18.740572
-129.724963,75,19.11534
-254.823307,106,19.645011
-427.156452,92,20.111478
-145.044612,125,20.720176
-393.84513,94,21.174534
-109.397189,77,21.550935
-273.961199,133,22.256307
-234.623885,135,22.989703
-456.231321,106,23.609016
-54.240856,62,23.954126
-71.361296,70,24.325583
-84.876124,112,24.915254
-159.937359,73,25.298928
-164.684757,111,28.15601
-438.363909,110,28.700476
-120.212778,107,29.238504
-150.464665,78,29.615214
-130.090508,142,30.334506
-78.915981,66,30.670275
-27.92612,76,31.031237
-128.187203,121,31.629847
-83.541968,77,32.006091
-138.590372,90,32.440957
-177.208058,89,32.873336
-281.285473,100,33.363484
-59.309331,114,33.929481
-284.757821,110,34.516556
-185.301288,105,35.083369
-246.50937,117,35.739234
-311.697173,99,36.276643
-91.269707,85,36.733756
-201.453424,164,37.636774
-296.571749,106,38.190392
-161.065493,69,40.863209
-188.293598,104,41.368389
-102.531303,120,41.956714
-346.348239,95,42.421745
-241.250051,68,42.756086
-91.709898,74,43.112754
-107.6159,100,43.597871
-89.18364,62,43.902987
-284.094515,96,44.37752
-48.455908,67,44.707675
-218.677387,110,45.239439
-158.737881,115,45.820096
-70.177596,73,46.175014
-361.868258,97,46.686788
-402.013841,107,47.268496
-43.714619,65,47.620136
-192.830869,96,48.133852
-252.834558,113,48.755006
-153.020163,100,49.2894
-244.151232,122,49.937591
-268.009972,82,50.377141
-83.117643,76,50.755733
-118.215426,77,53.47296
3.772984,79,53.852721
-145.115528,116,54.414592
-111.781629,85,54.828612
-88.189821,61,55.12001
-265.224677,113,55.677362
-106.309472,76,56.049766
-78.854197,66,56.37418
-210.256899,78,56.753876
-120.950683,88,57.176668
-165.876681,106,57.707757
-77.870038,78,58.083337
-146.089191,111,58.619303
-116.579339,80,59.054763
-222.37967,117,59.700314
-131.819101,66,60.05497
-65.91129,69,60.427925
-243.731231,107,60.966579
-62.563828,70,61.331104
-96.461835,77,61.742047
-56.908104,68,62.101692
-89.302867,83,62.536191
-71.1441,73,62.926014
-69.663093,66,63.254213
-233.013334,126,66.176165
-277.193511,127,66.796422
-92.570807,114,67.351597
-142.27419,80,67.741503
-130.749319,110,68.270286
29.366457,95,68.721406
-124.443609,94,69.181698
-74.620114,82,69.586341
-83.223275,99,70.060407
-80.155967,137,70.719766
-176.255274,83,71.151088
-82.980386,104,71.705854
-104.283996,92,72.201737
-417.520226,96,72.714723
-180.069785,139,73.393619
-233.785931,115,74.030596
-111.662048,85,74.495503
-100.583112,85,74.9488
-83.22664,82,75.395473
-92.390352,83,75.818349
-89.07269,73,76.176367
