#{"t_start": 1670715097.7112644, "env_id": "LunarLander-v2"}
r,l,t
-115.618744,68,5.962776
-127.131137,109,6.880227
-471.881311,100,7.585956
-322.143036,90,8.216276
-170.299146,82,8.805905
-124.825774,92,9.422942
-212.862814,65,9.798977
-246.365224,112,10.530368
-102.953248,79,11.091708
-415.96373,148,11.883586
-233.971773,65,12.23523
-7.210722,85,12.743467
-232.670372,127,13.633504
-124.289268,96,14.256655
-160.338176,91,14.751024
-112.399286,90,15.25291
-176.351929,54,15.547767
-100.131689,71,15.939042
-118.884982,109,16.547771
-124.415952,93,17.046745
-103.848309,70,17.474791
-102.779045,65,17.904858
-114.785736,109,21.907671
-92.724535,95,22.607818
-435.256138,78,23.130821
-54.7471,65,23.498987
-111.154928,62,23.84565
-363.618868,103,24.425918
-249.680943,65,24.788426
-152.920426,137,25.553996
-90.372827,91,26.085051
-243.216934,107,26.686026
-91.927775,67,27.049998
-194.852873,101,27.617066
-165.323242,80,28.078301
-153.578432,109,28.693007
-167.711558,112,29.331429
-298.484109,95,29.866454
-173.212832,78,30.297406
-233.476201,130,31.0855
-102.376469,85,31.737979
-114.895253,114,32.443843
-125.258174,94,33.023779
-61.294817,111,33.728763
-151.739,68,42.035526
-251.106939,102,42.881273
-130.321675,107,43.607817
-164.519321,123,45.914444
-212.453692,125,48.45555
-57.084577,131,50.270106
-98.434748,106,50.821816
-71.465959,79,51.242757
-132.927643,88,51.709405
-94.912691,71,53.002114
-100.696072,94,54.818774
-216.971576,119,57.226341
-183.691739,92,58.431525
-119.38158,72,58.817351
-203.683082,94,59.326127
-75.109895,78,59.752487
-418.610769,108,60.340823
-110.221559,64,60.679232
-173.148115,111,61.264995
-84.874604,70,61.666089
-268.45355,103,63.771167
-120.416153,87,65.570894
-95.979724,82,76.651153
-112.80329,76,77.588007
-92.058602,81,78.080843
-242.686787,87,78.560706
-166.456383,103,79.111281
-89.324987,75,79.520646
-127.1596,71,79.896109
-90.062635,65,80.239641
-125.853703,71,80.646037
-413.956693,116,82.644123
-101.805003,85,84.470133
-87.691676,64,85.673785
-123.159944,83,87.578325
-82.421612,108,88.381169
-76.039038,73,88.780504
-104.949442,79,89.216932
-100.038916,72,89.610186
-121.611331,78,90.050853
-106.46538,82,90.479655
-112.219835,77,90.910643
-64.981647,66,91.283944
-91.109497,64,91.622094
