#{"t_start": 1670800773.2599814, "env_id": "LunarLander-v2"}
r,l,t
-42.843729,134,3.703589
-285.49888,114,4.459576
-305.420026,97,5.050182
-94.098286,128,5.808688
-412.215879,130,6.559637
-141.562331,142,7.386138
-204.123588,78,7.832547
-128.530034,98,8.365865
-323.380147,107,8.942855
-151.967153,110,9.525892
-404.225734,96,10.037891
-115.75361,97,10.579584
-165.425244,92,11.095712
-354.529078,89,11.585387
-237.962218,128,12.316571
-82.714833,71,12.728773
-177.339998,72,13.122795
-192.581215,81,13.589703
-404.784034,106,14.203313
-165.106546,96,18.200531
-172.498758,108,18.869397
-107.475504,78,19.363585
-289.233915,101,19.975791
-87.760382,101,20.582937
-228.527734,91,21.121351
-117.909709,133,21.898118
-157.249556,75,22.331956
-140.400821,93,22.829145
-113.136372,67,23.189839
-354.056416,79,23.609017
-104.31578,78,24.029095
-284.990665,84,24.483433
-308.385533,107,25.052114
-488.074366,99,25.573422
-154.332196,81,26.010637
-60.054498,65,26.366058
-258.797752,97,26.909308
-183.830398,101,27.457617
-234.305015,83,27.913973
-200.852815,129,28.672312
-161.779139,76,29.120811
-243.176015,116,32.737962
-216.737668,100,33.347541
-196.212496,140,34.186094
-378.840503,117,34.871446
-112.35363,94,35.414963
-77.764763,86,35.938171
-116.636109,73,36.353814
-175.219695,74,36.790485
-86.348997,70,37.17189
-189.893892,114,37.804225
-81.111962,126,38.483024
-206.266304,152,39.317071
-66.757755,75,39.718391
-408.377774,113,40.346728
-119.63661,113,40.976207
-389.07087,89,41.455183
-123.818594,101,42.006704
-354.031996,98,42.532617
-163.14808,68,42.916514
-141.723261,104,43.520346
-98.221076,85,44.011305
-141.073011,97,47.977449
-99.629352,64,48.370755
-121.542831,128,49.111229
-146.424053,117,49.793278
-253.131556,107,50.412467
-53.47911,67,50.78751
-158.292302,66,51.168018
-349.932124,127,51.884629
-98.474351,60,52.198289
-122.435667,72,52.577216
-120.656742,92,53.058455
-80.993978,95,53.566498
-182.682293,112,54.160382
-206.608208,117,54.780161
-139.182871,80,55.213734
-91.775321,74,55.602034
-118.561765,77,56.003441
-261.276839,82,56.437644
-73.308483,91,56.941956
-167.449154,107,57.531398
-97.183234,106,58.141203
-139.971695,82,58.613148
-76.447669,75,62.446689
-163.250603,112,63.113181
-386.404491,95,63.657764
-67.763067,72,64.080549
-117.306061,80,64.535057
-209.430885,71,64.93232
-109.296718,92,65.458348
-93.18106,76,65.892453
-215.900248,76,66.330122
-210.044339,95,66.838642
-196.482106,72,67.20543
-158.937938,87,67.671793
-81.860651,92,68.147485
-381.421908,146,68.924656
-109.738805,64,69.263371
-155.736307,74,69.654885
-129.864226,93,70.141741
-188.16379,67,70.492477
-93.597378,87,70.94544
-332.533334,90,71.424579
-348.603044,90,71.900112
-164.098318,129,72.641612
-189.517745,131,73.399542
-167.779127,96,77.344732
-128.551646,101,77.932423
-121.881596,76,78.375616
-420.285909,119,79.080712
-95.745225,67,79.465903
-172.701377,114,80.126649
-304.945914,90,80.636719
10.905765,71,81.036678
-82.088066,85,81.477017
-117.870905,67,81.831893
-342.75817,73,82.226194
-87.252798,70,82.597391
-89.458834,57,82.890617
-104.713735,130,83.584483
-421.444575,97,84.086161
-218.543844,87,84.544432
-145.202243,62,84.864882
-366.389498,116,85.476718
-180.225061,103,86.024096
-146.338445,65,86.373503
-110.851453,113,87.010157
-288.824865,91,87.526096
-163.217445,69,87.916927
-196.222815,110,91.904272
-134.07658,77,92.378822
-208.139451,96,92.961172
-104.985887,78,93.438553
-148.679465,136,94.24202
-315.51268,99,94.807538
-225.131685,79,95.255033
-83.709339,70,95.65365
-113.414893,75,96.061948
-121.913225,62,96.389819
-277.081319,91,96.868442
-114.861974,88,97.332547
-244.110618,108,97.898818
-152.460797,81,98.320382
-110.280865,69,98.680276
-243.362199,111,99.260275
-132.815648,75,99.655241
-172.006869,96,100.155911
-346.71672,106,100.709369
-152.522817,128,101.407214
-395.27118,121,102.107136
-345.504667,127,102.825485
-301.559258,120,106.821954
-75.237231,76,107.26404
-152.885229,75,107.694637
-69.925318,80,108.177376
-116.433263,86,108.693041
-266.350822,104,109.281765
-82.331521,66,109.662855
-189.175481,68,110.049374
-75.769428,71,110.450254
-121.936493,94,110.937549
-296.072283,87,111.392683
-72.182566,115,111.99638
-117.829623,77,112.392263
-320.90969,147,113.169286
