#{"t_start": 1670469611.8873808, "env_id": "LunarLander-v2"}
r,l,t
-121.778809,64,4.585356
-123.196741,82,5.516318
-143.54096,132,7.164117
-113.466198,63,7.675997
6.11751,71,8.466952
-105.623012,90,9.428867
-252.425167,88,10.564496
-148.229221,117,11.812453
-33.328718,65,12.60872
-229.460983,96,13.632688
-117.886017,85,14.643687
-114.091807,125,16.172299
-182.127245,99,17.199637
-161.740001,69,18.057461
-166.83433,93,19.229529
-104.224316,84,20.154478
-52.250171,68,20.874706
-104.863643,65,21.664178
-266.042574,109,22.788409
-313.847481,102,23.825113
-167.454897,92,24.797431
-115.319817,89,25.972302
-154.403422,79,26.765479
