#{"t_start": 1670730456.8999624, "env_id": "LunarLander-v2"}
r,l,t
-9.89586,93,9.06046
-86.580701,65,10.146946
-71.826708,73,10.748073
-201.563501,69,11.265787
-147.86878,69,11.876735
-328.438551,140,13.02983
-278.787147,67,13.596265
-73.270153,95,14.428364
-52.159607,62,14.932947
-190.309431,99,15.674992
-243.271137,101,17.163532
-303.340932,75,18.904671
-139.741402,77,19.994351
-232.270044,124,21.562017
-179.917837,108,24.126401
-77.149523,62,25.205975
-186.827596,69,25.745325
-122.301912,58,26.208088
-416.642761,91,26.819856
-259.053171,102,27.505033
-136.449084,85,28.718794
-157.330567,95,30.829898
-64.203075,65,32.292144
-125.003082,85,34.305269
-251.320823,95,38.555511
-108.316338,106,39.377452
-159.97427,112,40.31515
-66.753066,69,41.490299
-250.008102,90,42.754436
-64.889598,60,43.285823
-112.144684,106,44.167838
-72.15662,120,45.097379
-281.055976,108,46.239557
-97.946941,98,48.37069
-93.022048,77,50.125798
-135.443601,87,51.428309
-150.73218,71,52.006347
-391.719807,97,52.737006
-182.266105,69,53.278216
-79.514028,67,53.778045
-287.237283,116,54.656435
-361.76281,100,55.315121
4.874411,146,56.359647
-108.543427,68,56.880974
-128.443815,75,57.452447
-136.429059,108,59.512043
-219.16973,77,75.872282
-193.67747,155,79.154848
-61.849441,74,79.828908
-101.112726,75,80.424542
-374.186691,106,82.055599
-316.41563,96,84.214227
-454.534601,121,86.432983
-98.375123,144,88.822292
-118.706731,92,91.26811
-103.907893,67,92.847273
-127.744436,93,93.949118
-338.949196,102,94.725188
-173.641103,67,95.179603
-167.53687,105,95.922997
-58.54219,61,96.368708
-136.517351,67,96.790345
-327.858938,107,97.60963
-175.515758,110,98.471493
-383.476675,105,99.310945
-98.239729,98,100.044582
-158.367853,101,100.778494
-125.738572,119,111.722411
-420.207856,125,112.877181
-77.343105,63,113.414614
-284.841607,184,114.936315
-172.510883,104,115.750156
-336.206257,103,116.667625
-116.160726,102,118.681303
-310.914617,88,121.435989
-328.445774,121,124.302152
-132.339006,94,125.571063
-319.264045,144,127.770722
-332.690641,108,128.49983
-102.091183,123,129.313256
-77.488342,69,129.837799
-129.179931,67,130.360359
-192.2973,126,131.275217
-120.921202,77,131.849434
-106.55031,83,132.345079
-316.008508,144,133.278435
-232.696589,113,137.230841
-84.784656,101,138.070139
-53.157637,131,139.192789
-180.12025,112,140.001485
-79.583915,61,140.473471
-182.270191,125,141.490391
-130.544297,93,142.254551
-113.757561,109,143.291114
-119.993333,95,144.044602
-185.011866,121,145.419694
-195.9731,126,147.570238
-80.356097,157,152.245927
-163.303935,78,154.477812
-94.797475,70,155.844783
-58.951114,85,157.078982
-355.566626,161,158.273506
-204.618789,110,159.0333
-59.374695,95,159.71005
-89.458136,70,160.213199
-58.313942,117,167.346303
-131.784293,99,169.427449
-51.88489,160,172.515226
-136.339284,87,173.178172
-132.256592,127,174.206096
-340.788924,151,175.481317
-96.419938,148,176.632676
-273.891093,181,177.973714
-331.774788,150,179.135116
-70.0863,100,179.866866
-10.402408,130,181.42221
-293.309577,147,184.676683
-133.274097,128,187.422438
-249.954508,111,188.398273
-62.675986,103,189.090453
-65.451948,76,189.639026
-103.069577,105,190.394697
-112.381926,84,194.394491
-53.149155,184,196.373232
-179.632744,215,200.903491
-104.829653,204,203.990199
-141.842952,125,205.130218
-183.836567,168,206.433993
-36.462413,71,206.977968
-150.799306,109,207.757812
-185.807597,157,210.626633
-231.877893,115,214.605703
-60.486457,99,218.156693
-116.565476,102,219.936389
-267.287781,158,223.34697
-73.639661,79,224.123844
-124.276991,144,225.071179
-124.191469,103,237.511895
-75.513331,96,238.85132
-68.282769,90,240.140393
-247.956751,157,243.95024
-75.297077,74,245.554072
-203.849912,124,248.447654
-148.382589,248,254.537559
-161.869275,184,260.562521
-72.044803,133,262.730574
-120.733179,84,263.341782
-38.837083,140,266.524302
-154.212739,209,271.799272
-233.822439,175,275.850918
-37.682855,253,277.763756
-245.721133,142,290.283228
-69.233653,114,292.27858
-11.873972,138,293.50383
-182.955928,222,298.48178
-59.654703,118,301.425663
-19.525754,97,303.988097
-106.302396,100,306.234603
-82.883483,125,307.631386
-38.884793,102,308.466251
-147.788044,106,309.301384
-29.561053,215,314.15468
-102.888505,90,316.951011
-123.400177,106,320.546474
-190.800811,121,323.956772
-380.847679,171,328.272055
47.914037,129,341.289711
-88.516703,113,343.322694
-62.652627,92,344.010375
-152.228654,112,344.97495
-21.294793,116,346.612751
-28.28118,156,350.503763
-190.306165,137,354.158593
-70.156393,100,356.768249
-295.791058,145,360.209815
15.424599,110,362.478341
-147.466424,137,367.068249
-231.813295,143,371.762971
-231.752465,167,376.221137
