#{"t_start": 1670473539.6286113, "env_id": "LunarLander-v2"}
r,l,t
-164.613322,137,4.729173
-136.95223,94,5.918935
-60.749293,55,6.609618
-168.793246,83,7.587545
-355.012028,76,8.506955
-124.303703,63,9.296179
-261.733621,120,10.823379
-45.394411,133,12.235268
-275.787192,118,13.75235
-603.733264,116,15.02345
-145.551112,119,16.486581
-181.103444,86,17.428685
-263.968264,80,18.379072
-111.259847,98,19.581943
-94.167093,73,20.453644
-273.103429,102,21.554025
-208.725334,84,22.542076
-144.595916,74,23.420789
-186.71677,134,25.200588
-173.89547,83,26.228418
-361.743769,130,29.558055
-110.994478,111,30.021413
-182.0946,62,30.281022
-161.607425,71,30.585642
-54.269485,64,30.865059
-285.789865,70,31.181477
-102.127161,84,32.033812
-104.58898,66,32.828538
-155.633307,90,33.905244
-86.646956,60,34.708971
-152.200023,109,35.914739
-274.992196,104,36.994005
-207.037683,78,37.749773
-172.41497,75,38.645149
-168.986742,122,40.278658
-93.822504,83,41.465098
-171.723788,103,42.910112
-55.056398,136,44.615565
-99.924103,85,45.51889
-465.127712,97,46.670616
-303.98614,152,48.505709
-103.285651,66,49.392246
-101.585091,125,50.910839
-96.853089,83,55.918142
-105.273485,104,57.084467
-175.205858,120,58.440634
-199.514259,98,59.514022
-136.855069,92,60.511905
-329.577049,107,61.665859
-187.029823,69,62.466979
-116.697903,67,63.162864
-143.275915,116,64.377625
-376.489953,103,65.552754
-85.239781,83,66.517735
-90.722524,128,67.981774
-152.969006,115,69.304283
-198.183274,75,70.144063
-213.0725,110,71.41294
-165.466946,121,72.821175
-77.149511,79,73.709408
-138.400092,68,74.500197
-241.988703,101,75.625441
-147.499343,103,76.841316
-224.023777,108,78.199729
-90.729495,61,83.143709
-107.041385,76,83.974231
-322.588505,143,85.665991
-113.112724,100,86.850956
-341.057106,113,88.20903
-158.589126,118,89.655754
-118.580958,108,91.176545
-216.089715,97,92.503035
-93.411865,69,93.311049
-50.941821,106,94.535953
-232.038398,85,95.503624
-105.998979,112,96.855661
-63.405837,71,97.720299
-83.450719,63,98.498156
-152.830779,118,99.92812
-113.585208,100,101.154951
-130.469328,90,102.394909
-118.874917,77,103.483215
-49.387332,77,104.556225
-143.585089,92,105.749286
-125.314036,111,107.24715
-67.027763,101,112.824602
-16.683209,116,114.141894
-281.557845,114,115.409435
-265.601182,126,116.848806
-343.807894,89,117.91321
-203.139676,93,118.919131
-159.599008,124,120.359717
-234.39254,105,121.678985
-147.461722,117,123.013182
-96.175962,84,123.948796
-2.26011,150,125.582629
-102.559296,97,126.700885
-263.826468,116,128.000779
-97.313745,107,129.379307
-187.815481,67,130.207322
-192.96561,129,131.709222
-368.932181,100,133.144057
-86.842893,72,134.00192
-73.996811,75,134.787877
-119.146489,93,135.923865
-127.955454,111,141.978995
-137.228523,85,143.045583
-111.420776,96,144.226172
-200.140897,143,145.77836
-105.059268,120,147.1621
-61.791016,71,147.90726
-141.16486,111,149.11738
-76.267048,115,150.433576
-139.091061,143,152.04368
-266.488916,123,153.575395
-92.343188,101,154.926026
-149.531189,107,156.185803
-96.563854,83,157.063102
-82.032471,70,157.767728
-155.763843,77,158.579129
-221.608236,109,159.661566
-107.033956,78,160.522091
-78.006025,92,161.600895
-85.9698,70,162.389756
-60.303369,106,163.56999
-115.520028,84,164.529741
-224.719463,112,169.923037
-190.978575,116,171.174872
-125.180528,124,172.605467
-108.188002,79,173.524744
-101.439208,129,175.012122
-123.638978,78,176.082049
-234.419395,97,177.350687
-82.998276,92,178.554446
-90.11419,70,179.535988
-77.545158,75,180.378428
-94.28935,110,181.662672
-206.248816,131,183.277364
-103.559388,132,185.015988
-208.919657,128,186.597859
-99.643311,106,187.827345
-78.135232,139,189.409385
-136.072941,114,190.716903
-109.984399,102,191.906227
-151.790976,115,193.114412
-89.036281,121,198.329191
-87.209124,97,199.341835
-119.510196,101,200.498488
-111.244459,81,201.344852
-191.928304,134,202.830281
-150.720919,137,204.591053
-86.668594,162,206.544933
-17.19128,76,207.414836
-52.851653,169,209.452637
-44.485485,86,210.536494
-112.420353,117,211.972354
-391.290074,160,213.846187
-131.756644,87,214.815843
-160.719923,99,215.838564
-104.111111,155,217.562448
-49.173594,130,219.077111
-123.513213,84,220.143061
-58.194774,148,225.88948
-120.744211,109,227.096779
-19.880404,110,228.347631
-65.065743,141,230.018109
-180.732066,149,231.709947
-81.583667,68,232.487533
-47.778225,83,233.431448
-66.228435,135,234.921039
-148.66445,111,236.18463
-66.213128,78,237.094375
-54.088001,125,238.630482
-96.844611,135,240.121851
-41.811014,102,241.20823
-21.810601,76,242.03157
-121.772469,95,243.104931
-59.687848,110,244.320836
-107.984831,84,245.191602
-97.795367,113,246.468368
-168.197058,114,247.676544
-210.141639,108,252.735179
-48.21199,154,254.383203
-6.257305,90,255.335714
-30.52153,128,256.811536
-80.130992,98,257.859612
-101.685683,119,259.312281
-62.394938,68,260.188772
-35.458507,79,261.199721
-266.226871,117,262.649175
-49.25116,111,264.089726
-184.246748,139,266.020159
-85.981056,151,268.092968
-41.182211,97,269.3602
-49.803789,136,271.0914
-115.57552,91,272.283624
-251.322177,171,274.056523
-49.143841,120,275.339117
-148.128419,102,280.896408
-47.150355,165,283.012176
-97.272022,125,284.673751
-97.375226,65,285.510917
-52.562005,124,287.128282
-45.885944,104,288.325584
-69.815727,95,289.42377
-297.211268,124,290.91203
-264.72572,169,293.048555
-48.672514,166,294.982567
-66.819852,86,295.993842
-44.573872,137,297.539504
-0.863825,108,298.701115
-64.968845,84,299.546858
-57.861704,103,300.715548
-32.304457,119,301.970504
-83.760255,106,303.148173
-32.868069,136,304.640324
-73.399423,98,310.609225
-75.813777,94,311.655865
-16.970565,136,313.230217
-108.009514,106,314.472119
-151.653541,185,316.750146
-111.58989,141,318.482932
-56.346469,113,320.015545
-94.315191,171,322.089371
-40.246169,103,323.359747
-42.61693,127,324.808717
-19.575092,163,326.598233
-41.382129,150,328.276304
18.091194,117,329.763226
-59.448829,84,330.805303
-96.258609,76,331.667457
-46.489501,149,333.304522
4.009819,205,339.784475
-21.452008,99,340.957243
-78.010313,98,342.021572
0.072603,102,343.181632
-50.110711,148,344.914258
-96.135755,132,346.468565
-97.33383,135,347.955863
-84.545512,181,349.957918
1.78586,131,351.350564
-50.82888,94,352.381564
-49.3507,131,353.877074
-84.291104,135,355.392375
0.723941,126,356.748487
-47.90166,141,358.270466
-5.33935,121,359.621365
-49.215604,129,365.263827
31.126105,178,367.366378
-56.880325,112,368.909828
37.537736,154,371.018284
-207.798802,191,373.589715
-22.107058,197,375.938526
-7.951914,149,377.630042
-2.081545,155,379.332976
7.005215,166,381.225677
21.436368,148,383.175699
-54.340021,118,384.685121
86.260437,1000,402.507535
63.971473,1000,415.090664
-61.761685,137,416.738032
-3.202969,1000,432.225037
-13.964331,140,433.954762
-60.325448,118,435.211591
14.469848,113,436.553717
-62.058339,126,438.244012
-14.452573,140,440.049991
52.692196,1000,457.058101
4.172006,140,458.941128
53.65697,1000,470.685379
-129.431722,188,472.710089
-297.973573,315,476.588507
20.316495,1000,493.148584
12.007122,220,495.788199
-206.816967,305,499.755814
-183.879449,226,502.452568
113.139857,1000,517.42326
-38.878292,206,519.746219
-48.941141,179,521.946985
-49.266065,193,524.100337
-156.2555,314,527.707735
-23.884202,272,530.637367
-70.488061,298,534.096364
-62.978225,257,541.338666
16.991722,282,544.48179
-55.822928,185,546.564742
-40.134335,247,549.35273
0.214326,237,551.903253
-14.01782,311,555.388857
59.90964,1000,571.025362
95.501117,1000,582.293877
-144.08271,179,584.282801
-38.071568,347,586.755212
115.578489,1000,592.554379
-40.235333,1000,596.758923
-156.960722,503,600.377965
58.421717,1000,604.5549
-6.407903,231,605.52471
21.204663,343,606.959777
39.09475,1000,612.648307
-229.995968,403,614.354833
61.888367,1000,620.019967
-83.923906,388,621.718963
-24.473598,382,623.304579
73.014239,1000,627.489957
-37.235342,336,630.306966
23.713932,398,631.960186
39.154524,1000,636.176692
122.827552,1000,641.865076
-92.140455,256,642.923769
86.87538,1000,646.997418
-56.538899,184,647.767867
96.729074,1000,653.410423
-110.80763,491,655.379372
-167.151186,449,657.146034
-36.161075,333,659.945111
80.422013,1000,664.182633
103.464973,1000,669.778437
-81.104159,513,671.942955
-89.722065,466,673.892386
-119.12431,515,676.087254
-172.098575,692,680.463139
-128.242181,430,682.251795
-99.118396,312,683.552968
-178.012282,478,685.543671
111.129768,1000,691.171592
-28.885125,536,693.464962
-130.503559,428,695.269427
-97.413195,351,696.748712
-30.726851,344,699.536563
104.656004,1000,703.698214
-71.939178,449,705.52358
56.776748,1000,711.131929
68.567311,1000,715.29694
-109.610027,231,716.269094
90.751416,1000,721.821862
110.077157,1000,725.925688
20.322693,253,726.965653
34.356691,254,729.456218
-34.410073,332,730.852195
106.381283,1000,735.102889
99.257911,1000,740.769205
134.957303,1000,744.967879
4.059704,220,745.908801
215.667644,417,749.070971
217.901452,373,750.693583
255.53638,988,754.781326
231.990245,737,759.253665
205.184817,407,760.999456
-8.333607,169,761.693137
258.264216,373,763.198395
264.830164,408,764.954202
192.285688,543,767.125357
246.482625,264,769.708075
176.309138,653,772.431543
209.903049,359,773.879967
192.099359,423,775.562002
-9.187563,201,776.377661
226.337584,340,779.191393
-243.064717,519,781.401455
231.817527,359,782.919832
-13.401833,246,783.92216
232.914432,344,785.301701
-28.007775,282,786.448787
-17.187099,319,789.216329
223.97083,328,790.564697
213.334384,474,792.436934
185.366812,422,794.109646
217.549013,459,796.08498
-16.027595,308,798.810921
249.508019,432,800.626207
251.289038,296,801.787508
201.619344,376,803.229555
12.212597,276,804.355595
273.555562,441,806.090339
-68.683321,337,808.924083
-64.95517,357,810.415002
194.662969,470,812.336999
-84.415901,660,815.046056
-55.259721,300,816.298426
-10.816724,233,818.679317
217.306894,355,820.186152
269.439586,327,821.586633
248.234989,374,823.146076
-62.898824,284,824.31321
24.902265,206,825.141375
231.719874,318,826.422973
243.854046,341,829.30344
161.461667,737,832.340505
227.414765,399,833.96016
167.624591,417,835.669497
212.336856,471,839.087833
194.663545,443,840.823359
230.529243,492,842.822787
226.115995,458,844.802566
253.700243,398,847.829148
-19.302173,336,849.312243
183.234711,410,850.891769
168.971093,459,852.733949
220.894105,406,854.37035
238.844992,370,855.824711
212.618679,410,858.999791
244.702332,388,860.532071
258.942413,354,861.984839
250.377334,543,864.232808
248.490481,378,865.775784
209.388061,373,868.806405
232.157999,421,870.504145
227.392449,392,872.146649
233.685752,389,873.743422
260.035614,403,875.351317
-16.524142,347,878.209118
247.051171,479,880.179685
249.995297,349,881.593725
-16.354382,313,882.984399
224.618913,410,884.660299
8.545552,311,887.333751
260.266978,454,889.263725
208.030577,454,891.094329
199.900072,493,893.146028
235.902901,532,895.345054
224.097085,390,898.428164
207.598451,463,900.294269
-17.033679,314,901.622385
199.694915,451,903.507618
157.788377,631,907.418045
